,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,101325,450,17,1.0194,0.8083,
6057201,6057201,61549,450,17,0.7977,0.7374,
212100901,212100901,139683,450,7,0.5880,0.4882,
193308901,193308901,60778,450,7,0.5425,0.5360,
357587601,357587601,136873,450,8,0.7539,1.0461,_mf_19_1.0961_svd19_1.1031
5179901,5179901,103214,450,19,1.1980,1.0574,
3482501,3482501,158724,450,7,1.6857,1.6881,_mf_19_1.1275_svd19_1.0881
182361501,182361501,99766,450,11,1.0983,1.0672,
270014301,270014301,129101,450,11,1.0415,1.1682,
7200501,7200501,136860,450,7,1.1829,0.9519,_mf_11_0.9172_svd11_1.0613
7078201,7078201,70858,450,7,0.8182,0.7666,_mf_11_0.8456_svd11_0.8900
57893601,57893601,42029,450,7,0.8430,0.8513,_mf_8_0.4767_mf_9_0.7839_mf_11_0.8291_svd8_0.7613_svd9_0.6076_svd11_0.8491
202249501,202249501,110685,450,8,0.8891,0.8420,
409833101,409833101,111612,450,8,0.8525,0.8884,
238760101,238760101,13940,450,8,0.7763,0.8405,
291816601,291816601,151834,450,8,0.7238,0.7966,
482776701,482776701,69126,450,7,0.7454,0.8162,
242460801,242460801,33940,450,10,0.7927,0.6969,
245054401,245054401,122960,450,10,0.7014,0.8382,
8075501,8075501,146042,450,10,0.8840,0.7772,
62301101,62301101,52253,450,10,0.7420,0.7800,
403795801,403795801,68849,450,10,1.1562,1.0762,
204145701,204145701,123055,450,10,1.1107,1.0858,
300868301,300868301,55796,450,10,0.5318,0.6007,
210686901,210686901,103186,450,10,0.5282,0.6460,
305413501,305413501,118585,450,10,0.5575,0.6199,
264842401,264842401,110704,450,7,0.9050,1.0279,
234790501,234790501,5838,450,7,0.9354,0.8938,
369962701,369962701,116312,450,7,1.0427,0.8945,
262123501,262123501,85757,450,6,0.5707,0.6082,
283496201,283496201,72486,450,6,0.6931,0.7397,
244715301,244715301,81461,450,8,0.8639,0.7677,
283902101,283902101,59200,450,8,0.9004,0.9866,
196718401,196718401,144961,450,10,0.7917,0.7569,
273114601,273114601,76192,450,10,0.8445,0.7491,
353836301,353836301,92060,450,9,0.8657,0.8492,
199281701,199281701,871,450,9,0.8996,0.8099,
416680001,416680001,58948,450,10,0.9639,0.9666,
219827401,219827401,118399,450,10,0.9476,0.9177,
174325901,174325901,156844,450,10,1.0681,0.9658,
199400601,199400601,35380,450,8,0.6775,0.6436,
313429701,313429701,103232,450,8,0.7147,0.7063,
337722901,337722901,82463,450,9,0.5895,0.5913,
87260801,87260801,123262,450,9,0.6155,0.4939,
304434901,304434901,154184,450,6,0.7810,0.8588,
192092401,192092401,21909,450,6,0.7300,0.7297,
295768001,295768001,150385,450,7,0.4830,0.5841,
360117401,360117401,34322,450,7,0.7433,0.6065,
363068601,363068601,23169,450,7,0.7868,0.9118,
279032401,279032401,137185,450,7,1.1026,0.9198,
420824801,420824801,161714,450,11,0.3471,0.4419,
38078901,38078901,44863,450,7,0.3199,0.3198,_mf_11_0.3654_svd11_0.3449
316713401,316713401,5329,450,6,0.5648,0.4702,
222217501,222217501,61252,450,6,0.4820,0.5056,
381997801,381997801,151980,450,7,0.9462,0.9361,
54199801,54199801,123569,450,15,0.6913,0.6675,_mf_16_0.6181_svd16_0.6986
154326101,154326101,134256,450,15,0.7266,0.7232,_mf_16_0.6330_svd16_0.5737
5727001,5727001,801,450,16,0.5455,0.6147,
13423401,13423401,100955,450,7,1.2573,1.1710,
34638201,34638201,122337,450,7,1.2415,1.3242,_mf_8_1.2240_mf_9_1.3991_svd8_1.3337_svd9_1.7974
129430001,129430001,158372,450,7,1.4631,1.4981,_mf_8_0.7391_mf_10_1.0111_svd8_0.7043_svd10_0.8539
133074701,133074701,66986,450,6,0.5550,0.4228,_mf_7_1.2610_mf_8_1.0318_mf_13_0.6906_svd7_0.8812_svd8_1.1341_svd13_0.6973
375162701,375162701,121424,450,9,1.4616,1.4823,
241392001,241392001,41177,450,9,1.3823,1.4419,
285730001,285730001,3832,450,9,1.4742,1.6162,
30669301,30669301,162093,450,7,1.5829,1.6796,
34649901,34649901,6173,450,13,0.6019,0.6774,
5540101,5540101,155791,450,16,0.7815,0.7283,
638701,638701,7273,450,8,0.7914,0.9050,_mf_16_0.9879_svd16_0.8523
80136001,80136001,87138,450,7,0.5852,0.5907,
479474201,479474201,94882,450,7,0.5456,0.6425,
34766901,34766901,14416,450,14,0.7743,0.7407,
33881501,33881501,64488,450,14,0.6933,0.7368,
187399301,187399301,54313,450,5,1.0300,1.0644,_mf_6_1.1768_svd6_1.1401
314570201,314570201,53666,450,6,1.1770,1.2505,
39070501,39070501,134458,450,9,0.5794,0.5536,
102335201,102335201,5264,450,8,0.6370,0.6640,_mf_9_0.5287_svd9_0.5284
39962701,39962701,20117,450,8,1.2986,1.4306,
39163501,39163501,25296,450,8,1.2814,1.1849,
38416601,38416601,88392,450,8,1.3962,1.4466,
40757101,40757101,107379,450,13,0.7958,0.9168,
40807001,40807001,69339,450,13,1.0236,1.0263,
40538801,40538801,13368,450,6,0.9343,0.6814,_mf_13_1.4378_svd13_1.2409
39377701,39377701,32808,450,13,0.4786,0.5129,
38668501,38668501,146652,450,12,0.4153,0.4379,_mf_13_0.4719_svd13_0.4942
39038001,39038001,37824,450,12,0.4704,0.4793,_mf_13_0.4536_svd13_0.4865
215904201,215904201,92084,450,7,0.3525,0.4010,
275580101,275580101,138557,450,7,0.3801,0.3920,
250303701,250303701,79980,450,7,0.4628,0.4251,
217431401,217431401,142834,450,7,0.5226,0.4080,
38361601,38361601,23138,450,8,0.6928,0.6586,
383206301,383206301,146281,450,10,1.8324,1.7994,_mf_11_1.3224_svd11_1.2906
184483601,184483601,86014,450,10,1.8694,1.9116,
265683401,265683401,111903,450,8,1.6873,1.9634,
387895901,387895901,41675,450,8,1.7543,1.8866,
181048101,181048101,3941,450,7,0.8182,0.6926,
351425701,351425701,156261,450,7,1.0238,0.8132,
313161701,313161701,131580,450,6,0.8231,0.7336,
346627001,346627001,88196,450,6,0.7928,0.8195,
238931701,238931701,156050,450,6,1.7059,1.6423,
286861901,286861901,107269,450,6,1.7020,1.8464,
264609101,264609101,104941,450,11,1.3335,1.2954,
121960501,121960501,45511,450,10,0.9408,0.8274,
479367601,479367601,24219,450,10,0.9578,0.8999,
41664601,41664601,11491,450,10,0.9834,0.8393,
38952701,38952701,146167,450,11,1.0217,1.0820,_mf_12_1.1505_svd12_1.0539
39559101,39559101,13965,450,11,0.9903,1.0570,_mf_12_1.1231_mf_13_1.0304_svd12_0.8428_svd13_1.0749
16795101,16795101,109615,450,12,0.8331,0.8001,
33834201,33834201,66248,450,12,0.8803,0.6414,
191627501,191627501,50364,450,6,0.9632,0.8953,
140505801,140505801,10746,450,6,0.8940,0.9085,
369450801,369450801,85015,450,7,0.8908,0.8426,
381411401,381411401,125989,450,7,0.8808,0.7892,
331045101,331045101,160395,450,5,0.8476,0.7401,
341860301,341860301,48535,450,5,0.8275,1.0062,_mf_6_1.0957_svd6_0.9287
201782001,201782001,58800,450,5,0.7811,0.7647,
182017801,182017801,115074,450,8,0.7182,0.5879,
404482501,404482501,11690,450,8,0.6258,0.6162,
60179801,60179801,28749,450,16,0.6138,0.5754,
62664901,62664901,18886,450,16,0.5322,0.8016,
73599001,73599001,17629,450,18,0.6003,0.6785,
464663601,464663601,5980,450,18,0.6644,0.6546,
73554701,73554701,90691,450,18,0.6927,0.6325,
345867701,345867701,25924,450,6,0.7087,0.8405,
215134701,215134701,119337,450,6,1.4104,1.0423,
245713701,245713701,72875,450,7,1.1549,1.1110,
411312001,411312001,149773,450,7,1.2252,1.1174,
479291201,479291201,40777,450,11,1.0656,1.0409,
55155001,55155001,99342,450,6,0.7942,0.8324,_mf_11_0.9528_svd11_1.1290
356689501,356689501,102510,450,8,0.6483,0.6174,
360017201,360017201,10361,450,8,0.5965,0.6279,
363888601,363888601,82637,450,9,1.8324,1.9419,
185334601,185334601,69431,450,9,1.7705,1.8684,
48035901,48035901,30622,450,8,0.7316,0.7742,
48327701,48327701,100997,450,5,0.5474,0.7151,_mf_8_0.4893_svd8_0.5845
48251401,48251401,49925,450,14,0.9255,1.0523,
471762501,471762501,63857,450,11,1.4520,1.5634,_mf_14_1.0307_svd14_1.0116
64058401,64058401,112744,450,8,0.9656,0.9227,
63774501,63774501,21090,450,8,0.9718,0.8536,
63588401,63588401,60024,450,8,0.9215,0.8510,
48224501,48224501,104076,450,11,1.6259,1.5983,
368208501,368208501,97582,450,8,0.8291,0.6797,
235928601,235928601,14614,450,8,0.6555,0.6294,
63790501,63790501,28608,450,16,0.9412,1.0339,
63564601,63564601,28699,450,16,0.7840,0.9207,
76366001,76366001,43211,450,18,1.0735,0.9792,
76717401,76717401,92046,450,18,0.9033,0.9822,
76603601,76603601,51158,450,18,0.9575,1.0369,
213783101,213783101,143719,450,6,0.8331,0.7932,
251292301,251292301,57497,450,6,0.7804,0.7720,
351430501,351430501,11932,450,6,0.5630,0.6402,
48121801,48121801,93924,450,10,2.2409,1.7816,
48051901,48051901,154799,450,10,1.9248,1.9884,
97613201,97613201,116363,450,12,0.6912,0.8039,
