,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,47259,120,17,0.9111,1.0545,
6057201,6057201,74810,120,17,1.1598,1.2028,
212100901,212100901,73268,120,7,1.5115,1.1951,
193308901,193308901,22023,120,7,1.3267,1.3491,
357587601,357587601,159806,120,8,0.5262,0.6480,_mf_19_0.6278_svd19_0.6320
5179901,5179901,14472,120,19,0.7376,0.6472,
3482501,3482501,103199,120,7,0.9270,1.0163,_mf_19_0.6221_svd19_0.7090
182361501,182361501,137243,120,11,1.0598,1.0103,
270014301,270014301,156235,120,11,1.0928,1.0351,
7200501,7200501,158408,120,7,0.7259,0.7170,_mf_11_0.7381_svd11_0.7321
7078201,7078201,76267,120,7,0.3747,0.3954,_mf_11_0.7565_svd11_0.7049
57893601,57893601,69339,120,8,0.5812,0.7799,_mf_9_0.9123_mf_11_0.8444_svd9_0.8617_svd11_0.8069
202249501,202249501,94173,120,8,0.7711,0.7226,
409833101,409833101,57595,120,8,0.7574,0.7338,
238760101,238760101,124902,120,8,0.6941,0.7826,
291816601,291816601,72840,120,8,0.7031,0.7568,
482776701,482776701,63472,120,7,0.3578,0.3439,
8075501,8075501,93748,120,10,0.6092,0.6848,
62301101,62301101,70287,120,10,0.7661,0.6751,
403795801,403795801,109229,120,10,1.1768,1.4178,
204145701,204145701,148327,120,10,1.3120,1.2891,
300868301,300868301,41011,120,10,0.8265,1.1350,
210686901,210686901,88876,120,10,0.9384,0.9828,
305413501,305413501,150295,120,10,0.9896,1.0673,
264842401,264842401,147409,120,7,1.0601,0.9081,
234790501,234790501,15971,120,7,0.9484,0.9715,
262123501,262123501,155773,120,6,1.4668,1.3108,
283496201,283496201,79281,120,6,1.0799,0.8951,
244715301,244715301,113971,120,8,0.9521,0.9121,
283902101,283902101,118723,120,8,1.2563,1.3050,
353836301,353836301,50330,120,9,0.8017,0.6435,
199281701,199281701,112307,120,9,0.7811,0.8121,
416680001,416680001,145584,120,10,0.9208,0.9321,
219827401,219827401,44429,120,10,0.9713,0.8928,
174325901,174325901,139513,120,10,1.0367,0.9027,
199400601,199400601,60782,120,8,1.3341,1.2063,
313429701,313429701,49068,120,8,0.9729,0.9779,
337722901,337722901,65186,120,9,0.5234,0.5944,
87260801,87260801,37317,120,9,0.6641,0.4981,
192092401,192092401,130053,120,6,0.9927,0.9590,
304434901,304434901,114743,120,6,0.9017,0.9853,
363068601,363068601,38695,120,7,1.2309,1.1369,
279032401,279032401,36352,120,7,1.2311,1.4384,
316713401,316713401,88294,120,6,0.6773,0.8124,
222217501,222217501,148109,120,6,0.6784,0.7380,
381997801,381997801,120197,120,7,0.9299,0.8580,
54199801,54199801,36780,120,15,0.8622,1.0138,_mf_16_0.9044_svd16_0.8920
154326101,154326101,104973,120,15,0.9640,0.8053,_mf_16_0.8415_svd16_0.8808
5727001,5727001,88250,120,16,0.9399,0.7804,
13423401,13423401,84293,120,7,0.8001,0.8587,
34638201,34638201,162380,120,7,0.7103,0.8068,_mf_8_1.0791_mf_9_1.0673_svd8_0.9989_svd9_1.7248
129430001,129430001,11579,120,7,0.6874,0.7786,_mf_8_0.7579_mf_10_0.4468_svd8_0.7903_svd10_0.7299
133074701,133074701,105607,120,6,0.6948,0.9747,_mf_7_1.2048_mf_8_0.9286_mf_13_1.1440_svd7_1.6946_svd8_0.7639_svd13_1.1097
375162701,375162701,56978,120,9,1.0796,1.0449,
241392001,241392001,101056,120,9,1.0879,1.0413,
285730001,285730001,135141,120,9,0.7189,0.7232,
30669301,30669301,40350,120,7,1.0283,1.0572,
34649901,34649901,104049,120,13,1.1861,1.0054,
