,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,16804,40,17,0.8927,0.8987,
6057201,6057201,137367,40,17,0.8678,0.9935,
212100901,212100901,73639,40,7,0.8078,0.8320,
193308901,193308901,16388,40,7,0.8404,0.8193,
357587601,357587601,41421,40,8,0.9149,0.8612,_mf_19_0.8873_svd19_0.7995
5179901,5179901,34691,40,19,0.8259,0.8146,
3482501,3482501,102830,40,7,0.9063,1.0023,_mf_19_0.9864_svd19_0.8541
182361501,182361501,112754,40,11,0.6394,0.6702,
270014301,270014301,138767,40,11,0.6384,0.6620,
7200501,7200501,47553,40,7,0.8497,0.8771,_mf_11_0.4917_svd11_0.4235
7078201,7078201,141557,40,7,0.6461,0.6571,_mf_11_0.4693_svd11_0.4327
57893601,57893601,14163,40,8,1.0800,0.7347,_mf_9_0.7439_mf_11_0.4640_svd9_0.9708_svd11_0.4580
202249501,202249501,98737,40,8,0.9094,0.8066,
409833101,409833101,6100,40,8,0.8533,0.9110,
238760101,238760101,125030,40,8,0.8134,0.8501,
291816601,291816601,45258,40,8,0.8434,0.7825,
482776701,482776701,118678,40,7,0.5976,0.7025,
8075501,8075501,47119,40,10,0.9835,0.8274,
62301101,62301101,33328,40,10,1.0463,0.8271,
403795801,403795801,85613,40,10,1.5446,1.6275,
204145701,204145701,71839,40,10,1.5589,1.3841,
300868301,300868301,115341,40,10,0.7449,0.6939,
210686901,210686901,116131,40,10,0.8428,0.7983,
305413501,305413501,60976,40,10,0.7208,0.8445,
264842401,264842401,158640,40,7,0.9230,0.8673,
234790501,234790501,56314,40,7,0.7594,0.9955,
262123501,262123501,65343,40,6,0.7893,0.6894,
283496201,283496201,62383,40,6,0.9375,0.8651,
244715301,244715301,135458,40,8,1.0452,0.9413,
283902101,283902101,61194,40,8,0.9117,1.0320,
353836301,353836301,110841,40,9,1.0190,0.9601,
199281701,199281701,33610,40,9,1.0645,0.9551,
416680001,416680001,140380,40,10,0.8208,0.8677,
219827401,219827401,82325,40,10,0.7927,0.7385,
174325901,174325901,45116,40,10,0.9129,0.8518,
199400601,199400601,69185,40,8,1.1072,1.2344,
313429701,313429701,8528,40,8,1.1303,1.1299,
337722901,337722901,44833,40,9,1.0046,1.0108,
87260801,87260801,112744,40,9,1.0949,0.9179,
192092401,192092401,33406,40,6,0.4744,0.3899,
304434901,304434901,160904,40,6,0.4223,0.4300,
363068601,363068601,18914,40,7,0.9570,1.0531,
381997801,381997801,54036,40,7,1.1092,1.0876,
54199801,54199801,146925,40,15,0.8307,0.8295,_mf_16_0.7659_svd16_0.7622
154326101,154326101,82410,40,15,0.8115,0.7639,_mf_16_0.7074_svd16_0.7133
5727001,5727001,78057,40,16,0.7941,0.8129,
13423401,13423401,116587,40,7,0.9674,0.8002,
34638201,34638201,145389,40,7,0.9838,0.9130,_mf_9_1.1846_svd9_0.8470
129430001,129430001,22859,40,7,1.2464,1.2065,_mf_10_0.9859_svd10_0.7752
30669301,30669301,129396,40,7,1.1233,0.9616,
133074701,133074701,78159,40,6,0.7908,0.8567,_mf_7_1.7181_mf_13_0.6288_svd7_1.2058_svd13_0.6533
34649901,34649901,138269,40,13,0.6983,0.6177,
5540101,5540101,149020,40,16,1.0469,0.9190,
638701,638701,135379,40,8,0.8849,1.1598,_mf_16_0.9067_svd16_0.8647
80136001,80136001,112501,40,7,1.0278,1.1816,
479474201,479474201,85844,40,7,1.1827,1.0788,
34766901,34766901,91750,40,14,0.8966,0.8595,
33881501,33881501,93116,40,14,0.9646,1.0098,
39070501,39070501,157545,40,9,1.1313,1.0704,
102335201,102335201,158684,40,8,0.9893,1.0451,_mf_9_1.1056_svd9_1.1439
39962701,39962701,128811,40,8,0.9728,0.8353,
39163501,39163501,86788,40,8,1.1724,0.9487,
38416601,38416601,60962,40,8,0.9217,1.1087,
40757101,40757101,135324,40,13,1.1054,1.0441,
40807001,40807001,112701,40,13,1.1216,1.0698,
39377701,39377701,43307,40,13,1.1704,1.0488,
38668501,38668501,131389,40,12,0.8525,0.6505,_mf_13_1.1039_svd13_1.0794
39038001,39038001,44329,40,12,0.6400,0.7708,_mf_13_1.1139_svd13_1.0957
215904201,215904201,73079,40,7,0.4162,0.5050,
275580101,275580101,124830,40,7,0.4452,0.4319,
250303701,250303701,41293,40,7,0.9114,0.9161,
217431401,217431401,59254,40,7,0.9193,0.9199,
38361601,38361601,19242,40,8,1.0872,1.1988,
265683401,265683401,116843,40,8,0.7767,0.7532,
387895901,387895901,12656,40,8,0.7328,0.7509,
181048101,181048101,50774,40,7,0.9304,0.8139,
351425701,351425701,98873,40,7,0.9928,0.8338,
264609101,264609101,21763,40,11,0.7573,0.8175,
383206301,383206301,46450,40,11,0.7989,0.7209,
121960501,121960501,28809,40,10,1.9228,1.9791,
479367601,479367601,135924,40,10,1.9111,2.1379,
41664601,41664601,95640,40,10,1.9282,1.9930,
38952701,38952701,104249,40,11,1.8073,1.8474,_mf_12_1.6611_svd12_1.7931
39559101,39559101,22573,40,11,1.7473,1.8896,_mf_12_1.6895_mf_13_1.5998_svd12_1.6890_svd13_1.5966
16795101,16795101,61913,40,12,1.3275,1.4333,
33834201,33834201,35374,40,12,1.2931,1.3469,
341860301,341860301,32612,40,5,0.5730,0.6216,
201782001,201782001,139125,40,5,0.6023,0.7094,
182017801,182017801,46121,40,8,0.4200,0.3948,
404482501,404482501,129814,40,8,0.4467,0.4192,
60179801,60179801,89087,40,16,0.4595,0.4302,
62664901,62664901,135973,40,16,0.5019,0.4622,
73599001,73599001,62961,40,18,1.4117,1.3563,
464663601,464663601,35793,40,18,1.4078,1.2355,
73554701,73554701,45398,40,18,1.5015,1.2925,
479291201,479291201,10562,40,11,0.8045,0.7042,
55155001,55155001,161382,40,6,1.0853,1.1270,_mf_11_0.7805_svd11_0.9125
356689501,356689501,113881,40,8,0.6193,0.6416,
360017201,360017201,45660,40,8,0.6079,0.6064,
363888601,363888601,81484,40,9,0.9960,0.8511,
185334601,185334601,85347,40,9,0.8758,0.7380,
48035901,48035901,157679,40,8,0.5809,0.5986,
48327701,48327701,87214,40,8,0.6626,0.6389,
48251401,48251401,65783,40,14,0.5617,0.6933,
471762501,471762501,70176,40,11,0.7685,0.7707,_mf_14_0.5834_svd14_0.6030
64058401,64058401,18174,40,8,0.5988,0.6323,
48224501,48224501,129437,40,11,0.7165,0.8255,
368208501,368208501,136741,40,8,0.7653,0.8043,
235928601,235928601,32550,40,8,0.8742,0.7559,
63790501,63790501,86642,40,16,1.3758,1.4357,
63564601,63564601,81207,40,16,1.4583,1.3448,
213783101,213783101,159206,40,6,1.1786,1.1663,
251292301,251292301,107914,40,6,1.2776,1.2143,
351430501,351430501,68207,40,6,1.2522,1.2273,
48121801,48121801,161089,40,10,0.6016,0.5999,
48051901,48051901,2420,40,10,0.5836,0.6195,
97613201,97613201,17410,40,12,0.9366,0.9871,
161963801,161963801,137087,40,12,0.9578,1.0301,_mf_13_1.3491_svd13_1.2595
162757101,162757101,124100,40,12,1.0435,0.9510,
159696901,159696901,6915,40,12,1.0240,0.8716,
489035301,489035301,104089,40,12,1.1819,1.1406,_mf_13_1.3032_svd13_1.2706
12546801,12546801,122951,40,9,1.0239,1.1976,
12368901,12368901,147874,40,9,1.1059,1.0529,
161194201,161194201,19799,40,19,1.3491,1.4684,_mf_21_0.7759_svd21_0.9918
481319801,481319801,95626,40,19,1.2712,1.4248,
76527501,76527501,49364,40,18,0.9399,1.0000,
76396201,76396201,114438,40,18,0.8096,0.9944,
63514901,63514901,35149,40,19,0.9653,1.1098,
123296701,123296701,33269,40,19,1.1141,1.1266,
435384001,435384001,105210,40,15,0.6621,0.5860,
426024001,426024001,134075,40,15,0.5330,0.6887,
181838101,181838101,115490,40,7,1.0353,1.1327,
157179401,157179401,145578,40,7,1.1690,1.1167,
107918501,107918501,152114,40,7,0.5583,0.6400,
242095801,242095801,119957,40,7,0.6140,0.5566,
379140001,379140001,91532,40,6,1.1886,0.9270,_mf_10_1.0187_svd10_0.7773
360462601,360462601,129793,40,10,0.7322,0.6943,
488491401,488491401,70738,40,7,0.8503,0.8757,
457407301,457407301,92779,40,7,1.0133,0.9468,_mf_11_0.8027_svd11_0.8076
290545701,290545701,151565,40,6,1.0106,1.1121,_mf_7_1.0316_svd7_1.1191
216832701,216832701,154189,40,10,0.8069,0.8102,
485993901,485993901,131607,40,10,0.6993,0.7110,
80371701,80371701,126166,40,7,1.2920,0.9953,_mf_11_0.9477_svd11_0.9032
485861001,485861001,142533,40,9,1.1820,1.1481,
457528501,457528501,28652,40,9,1.1031,1.1610,
160123601,160123601,127724,40,16,1.0402,1.0763,
457554601,457554601,23658,40,16,1.0708,1.1306,
164029701,164029701,109629,40,16,1.1316,1.0428,
162615401,162615401,51915,40,14,0.6950,0.5868,
164424801,164424801,17681,40,14,0.6446,0.4712,
161113101,161113101,42127,40,7,0.8672,1.0429,
161253701,161253701,148567,40,7,1.0882,0.9325,
160699201,160699201,112507,40,6,1.1195,1.0751,
159862201,159862201,147540,40,6,0.9872,0.9104,
158531801,158531801,126108,40,6,0.9998,1.0602,
158947901,158947901,115695,40,13,1.0609,1.2567,
158584001,158584001,159269,40,13,0.9038,1.1553,
188724801,188724801,74183,40,8,1.0477,0.9460,
123671101,123671101,68941,40,8,0.8035,0.7805,
76873201,76873201,106784,40,13,0.7141,0.7795,_mf_23_0.6824_svd23_0.6868
77081201,77081201,38535,40,13,0.7999,0.6793,
458486101,458486101,100277,40,15,0.4207,0.4392,
164000901,164000901,48839,40,15,0.5024,0.5025,
479123201,479123201,137283,40,8,0.9409,0.8780,
162338201,162338201,56515,40,6,0.6131,0.6964,_mf_7_0.8964_mf_8_0.8606_svd7_0.8316_svd8_0.8988
160534801,160534801,103819,40,8,0.8853,0.9111,
159998301,159998301,129600,40,8,0.8519,0.9478,_mf_18_0.6783_svd18_0.8268
158492801,158492801,126464,40,6,0.9013,0.8137,
162562401,162562401,30839,40,6,0.7270,0.8023,
457815701,457815701,98524,40,6,0.9383,0.9027,_mf_8_0.6058_svd8_0.6488
457893501,457893501,109292,40,8,0.9342,0.7166,
457737801,457737801,104857,40,8,0.7774,0.7759,
355810901,355810901,53989,40,6,0.5378,0.6053,
214453101,214453101,48647,40,6,0.6044,0.5603,
76361101,76361101,111337,40,14,0.9690,1.0110,
76396401,76396401,56440,40,14,0.9536,0.8184,
166515501,166515501,131691,40,14,0.6294,0.7086,
162093101,162093101,90137,40,14,0.8192,0.7858,
147035001,147035001,86066,40,7,0.6989,0.6242,
354216901,354216901,21234,40,7,0.6311,0.5492,
160876601,160876601,78234,40,6,0.6627,0.6235,
158697001,158697001,93848,40,6,0.7361,0.8488,
94200501,94200501,136351,40,17,0.5472,0.6097,
457664201,457664201,93567,40,17,0.6463,0.5658,
477605201,477605201,117181,40,6,0.6988,0.6264,_mf_7_0.5238_svd7_0.6208
280216801,280216801,125961,40,6,0.7107,0.6805,_mf_7_0.7897_svd7_0.8329
160411801,160411801,135888,40,19,0.9269,0.8659,
164005501,164005501,101188,40,19,0.9061,0.9974,
163947901,163947901,102109,40,7,1.0255,1.0156,
163146801,163146801,137681,40,7,1.0474,1.0856,
