,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,157213,400,17,1.6467,1.7976,
6057201,6057201,99176,400,17,1.5992,1.7115,
212100901,212100901,71545,400,7,0.7970,0.8858,
193308901,193308901,99163,400,7,0.8168,0.8093,
357587601,357587601,100304,400,8,1.2324,1.3235,_mf_19_0.7937_svd19_0.8668
5179901,5179901,49839,400,19,0.8755,0.8855,
3482501,3482501,5377,400,7,0.6075,0.5480,_mf_19_0.8018_svd19_0.8929
182361501,182361501,45258,400,11,1.1111,0.7773,
270014301,270014301,152929,400,11,0.8448,0.9211,
7200501,7200501,23128,400,7,1.2061,1.1621,_mf_11_0.9450_svd11_0.8596
7078201,7078201,108995,400,7,0.6544,0.5434,_mf_11_0.8150_svd11_0.7992
57893601,57893601,93041,400,7,0.6049,0.6158,_mf_8_0.7470_mf_9_0.9712_mf_11_0.7856_svd8_0.7971_svd9_0.9443_svd11_0.8515
202249501,202249501,141453,400,8,0.4425,0.4313,
409833101,409833101,108289,400,8,0.4519,0.4257,
238760101,238760101,79376,400,8,0.4645,0.4263,
291816601,291816601,28844,400,8,0.5146,0.4461,
482776701,482776701,45804,400,7,0.7166,0.5550,
242460801,242460801,146643,400,10,0.7756,0.7841,
245054401,245054401,115437,400,10,0.6313,0.6891,
8075501,8075501,31087,400,10,0.6797,0.7218,
62301101,62301101,53965,400,10,0.6835,0.6236,
403795801,403795801,105581,400,10,1.2475,1.2467,
204145701,204145701,122404,400,10,1.0318,1.0866,
300868301,300868301,148721,400,10,1.1638,1.2600,
210686901,210686901,32385,400,10,1.2335,1.1684,
305413501,305413501,118616,400,10,1.0594,1.1244,
264842401,264842401,70393,400,7,1.1648,1.1135,
234790501,234790501,4280,400,7,1.1992,1.1985,
369962701,369962701,155408,400,7,1.2718,1.0866,
262123501,262123501,103799,400,6,1.1794,0.7783,
283496201,283496201,3747,400,6,0.8691,0.7949,
244715301,244715301,161066,400,8,0.7722,0.9073,
283902101,283902101,120142,400,8,0.8252,0.8988,
196718401,196718401,871,400,10,0.5368,0.6229,
273114601,273114601,140112,400,10,0.5474,0.6213,
353836301,353836301,108213,400,9,0.6910,0.6666,
199281701,199281701,130756,400,9,0.7821,0.6492,
416680001,416680001,70558,400,10,0.8665,0.9125,
219827401,219827401,7096,400,10,0.9247,0.9197,
174325901,174325901,78308,400,10,0.9231,0.9942,
199400601,199400601,128924,400,8,0.8196,0.6835,
313429701,313429701,57826,400,8,0.6718,0.8208,
337722901,337722901,76701,400,9,0.6990,0.5853,
87260801,87260801,63117,400,9,0.5593,0.6958,
304434901,304434901,157848,400,6,0.5383,0.6853,
192092401,192092401,22875,400,6,0.6092,0.6649,
295768001,295768001,73515,400,7,1.2003,1.1041,
360117401,360117401,43714,400,7,1.1888,1.1852,
363068601,363068601,60787,400,7,1.2862,1.4406,
279032401,279032401,4496,400,7,1.4949,1.3300,
420824801,420824801,5463,400,11,0.7963,0.8305,
38078901,38078901,83665,400,7,0.7238,0.7657,_mf_11_0.6847_svd11_0.7280
316713401,316713401,49635,400,6,0.9626,0.8738,
222217501,222217501,19886,400,6,0.8804,1.0390,
381997801,381997801,101289,400,7,1.6219,1.5104,
54199801,54199801,78679,400,15,0.6163,0.4992,_mf_16_0.7197_svd16_0.7251
154326101,154326101,143927,400,15,0.6100,0.5796,_mf_16_0.7702_svd16_0.6714
5727001,5727001,66746,400,16,0.6684,0.6607,
13423401,13423401,129652,400,7,0.8190,0.8431,
34638201,34638201,51158,400,7,0.8589,0.7918,_mf_8_0.8850_mf_9_0.9911_svd8_0.8451_svd9_1.0568
129430001,129430001,57595,400,7,0.7586,0.7172,_mf_8_0.4264_mf_10_0.8198_svd8_0.4014_svd10_1.0698
133074701,133074701,91402,400,6,0.2836,0.2920,_mf_7_0.5965_mf_8_0.7116_mf_13_0.6635_svd7_0.7238_svd8_0.7713_svd13_0.4616
375162701,375162701,32646,400,9,1.1046,1.0560,
241392001,241392001,34414,400,9,1.1551,0.9425,
285730001,285730001,3128,400,9,1.0550,1.0603,
30669301,30669301,71210,400,7,0.5756,0.5268,
34649901,34649901,78503,400,13,0.6411,0.6126,
5540101,5540101,20697,400,16,1.0326,0.9731,
638701,638701,52457,400,8,0.9104,1.0531,_mf_16_1.2310_svd16_1.1911
80136001,80136001,1428,400,7,1.0506,0.8579,
479474201,479474201,127157,400,7,1.0307,0.7980,
34766901,34766901,57423,400,14,0.6828,0.8152,
33881501,33881501,37545,400,14,0.6976,0.7259,
187399301,187399301,75973,400,5,1.1902,1.0134,_mf_6_0.9982_svd6_0.8369
314570201,314570201,12621,400,6,0.9604,0.8981,
39070501,39070501,48206,400,9,0.6101,0.8956,
102335201,102335201,126107,400,8,0.7805,0.6130,_mf_9_0.6804_svd9_0.8960
39962701,39962701,8877,400,8,0.6570,0.6535,
39163501,39163501,29967,400,8,0.6706,0.6823,
38416601,38416601,109629,400,8,0.6662,0.7215,
40757101,40757101,151368,400,13,0.9978,0.9161,
40807001,40807001,159508,400,13,0.9479,0.9910,
40538801,40538801,65381,400,6,0.7230,1.2441,_mf_13_0.9995_svd13_0.8342
39377701,39377701,87735,400,13,1.0548,0.9832,
38668501,38668501,12224,400,12,1.2943,1.1344,_mf_13_1.0594_svd13_0.9762
39038001,39038001,127153,400,12,1.0247,1.0294,_mf_13_1.0200_svd13_1.0110
215904201,215904201,126225,400,7,0.6586,0.5615,
275580101,275580101,69578,400,7,0.5602,0.5769,
250303701,250303701,10409,400,7,0.9104,0.8502,
217431401,217431401,137940,400,7,0.9930,0.9143,
38361601,38361601,63141,400,8,0.9427,0.6909,
383206301,383206301,123262,400,10,1.1300,1.0650,_mf_11_0.2319_svd11_0.2601
184483601,184483601,126209,400,10,0.8599,1.0865,
265683401,265683401,79544,400,8,0.8140,0.6295,
387895901,387895901,87713,400,8,0.6863,0.6839,
181048101,181048101,145213,400,7,0.9238,0.8625,
351425701,351425701,150229,400,7,0.8915,0.8893,
313161701,313161701,150406,400,6,0.8311,0.7642,
346627001,346627001,42581,400,6,0.7190,0.7106,
238931701,238931701,110841,400,6,0.9131,0.9305,
286861901,286861901,24609,400,6,0.8981,0.9523,
264609101,264609101,78480,400,11,0.2572,0.2644,
121960501,121960501,53015,400,10,0.7183,0.6343,
479367601,479367601,53836,400,10,0.6692,0.6004,
41664601,41664601,64019,400,10,0.6949,0.6450,
38952701,38952701,17360,400,11,0.6703,0.7125,_mf_12_0.6232_svd12_0.7909
39559101,39559101,32589,400,11,0.7011,0.6831,_mf_12_0.8230_mf_13_0.9602_svd12_0.7212_svd13_1.1528
16795101,16795101,16804,400,12,0.8359,0.8807,
33834201,33834201,9277,400,12,0.7941,0.9919,
191627501,191627501,10416,400,6,1.0481,1.1063,
140505801,140505801,65868,400,6,1.0677,0.9489,
331045101,331045101,73108,400,5,0.7406,0.6408,
341860301,341860301,147795,400,5,0.6090,0.5646,_mf_6_0.4660_svd6_0.4039
201782001,201782001,3484,400,5,0.7011,0.7316,
182017801,182017801,70104,400,8,0.8630,0.7040,
404482501,404482501,60115,400,8,0.7126,0.7495,
60179801,60179801,101592,400,16,0.6032,0.6482,
62664901,62664901,133295,400,16,0.6217,0.6665,
73599001,73599001,1975,400,18,0.7629,0.8829,
464663601,464663601,35659,400,18,0.7845,0.7580,
73554701,73554701,28826,400,18,0.8260,0.9050,
345867701,345867701,134256,400,6,0.6683,0.6661,
215134701,215134701,86828,400,6,1.1846,0.8985,
245713701,245713701,64327,400,7,0.6844,0.6143,
411312001,411312001,37714,400,7,0.7121,0.6345,
479291201,479291201,49478,400,11,0.7457,0.6897,
55155001,55155001,23117,400,6,1.0886,1.0887,_mf_11_0.6304_svd11_0.7589
356689501,356689501,82916,400,8,1.2234,1.2674,
360017201,360017201,150400,400,8,1.3124,1.2347,
363888601,363888601,56645,400,9,0.5716,0.8044,
185334601,185334601,92379,400,9,0.6652,0.8805,
48035901,48035901,45698,400,8,0.5190,0.4978,
48327701,48327701,73617,400,5,0.5527,0.6539,_mf_8_0.4452_svd8_0.4123
48251401,48251401,10237,400,14,0.6110,0.5371,
471762501,471762501,105030,400,11,0.5298,0.5907,_mf_14_0.5698_svd14_0.6229
64058401,64058401,26527,400,8,0.5065,0.5873,
63774501,63774501,71600,400,8,0.9432,1.0966,
63588401,63588401,101189,400,8,0.9778,1.0829,
48224501,48224501,68063,400,11,0.6579,0.6510,
368208501,368208501,64045,400,8,0.7562,0.7779,
235928601,235928601,108040,400,8,0.8788,0.8278,
63790501,63790501,68206,400,16,0.9164,1.1073,
63564601,63564601,122130,400,16,1.0327,1.0681,
76366001,76366001,51699,400,18,0.5993,0.5879,
76717401,76717401,48430,400,18,0.5748,0.4832,
76603601,76603601,32178,400,18,0.5504,0.6140,
213783101,213783101,89870,400,6,0.6473,0.7220,
251292301,251292301,84758,400,6,1.1009,0.9484,
351430501,351430501,143706,400,6,0.8028,0.6307,
48121801,48121801,136962,400,10,1.2823,1.2203,
48051901,48051901,4668,400,10,1.0967,1.1745,
97613201,97613201,26024,400,12,0.8945,0.7850,
161963801,161963801,62522,400,12,0.7036,0.7887,_mf_13_1.0395_svd13_1.0993
162757101,162757101,86340,400,12,0.7180,0.7489,
159696901,159696901,80780,400,12,0.9274,0.8921,
489035301,489035301,15754,400,12,0.7591,0.7547,_mf_13_1.0059_mf_15_0.3577_svd13_1.2033_svd15_0.4085
457497401,457497401,28627,400,13,1.0488,1.0300,
12546801,12546801,8460,400,9,1.1058,0.9813,
12368901,12368901,115820,400,9,1.0529,0.9638,
161194201,161194201,997,400,19,0.6401,0.7954,_mf_21_0.4471_svd21_0.5658
481319801,481319801,40216,400,19,0.5841,0.5925,
186917001,186917001,153970,400,6,0.5658,0.4842,
420193801,420193801,152671,400,6,0.5576,0.4343,
76252201,76252201,110485,400,18,0.3260,0.3015,
123553101,123553101,120961,400,18,0.2935,0.3540,
