,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,9205,200,17,1.3782,1.4179,
6057201,6057201,4245,200,17,1.5216,1.3691,
212100901,212100901,75261,200,7,0.6904,0.7125,
193308901,193308901,156184,200,7,0.8143,0.8051,
357587601,357587601,127247,200,8,0.8064,0.8278,_mf_19_0.6076_svd19_0.6036
5179901,5179901,36900,200,19,0.6836,0.6266,
3482501,3482501,116069,200,7,0.7705,0.5678,_mf_19_0.6136_svd19_0.6738
182361501,182361501,117115,200,11,0.6531,0.7428,
270014301,270014301,111490,200,11,0.6158,0.4807,
7200501,7200501,10960,200,7,0.9936,1.1577,_mf_11_0.8658_svd11_0.9412
7078201,7078201,79179,200,7,1.3030,1.1775,_mf_11_0.9905_svd11_0.9478
57893601,57893601,134544,200,7,1.1515,1.1895,_mf_8_0.6419_mf_9_1.0214_mf_11_0.8841_svd8_0.3587_svd9_0.4117_svd11_0.9523
202249501,202249501,146417,200,8,0.8668,0.9446,
409833101,409833101,132541,200,8,0.7456,0.8480,
238760101,238760101,106956,200,8,0.9289,0.9490,
291816601,291816601,152385,200,8,0.8786,0.9465,
482776701,482776701,11072,200,7,1.2110,1.3934,
8075501,8075501,68047,200,10,1.4550,1.3748,
62301101,62301101,111402,200,10,1.4103,1.2340,
403795801,403795801,161421,200,10,0.5995,0.5024,
204145701,204145701,41185,200,10,0.6215,0.5576,
300868301,300868301,93848,200,10,0.8729,0.9346,
210686901,210686901,114322,200,10,0.8399,0.8411,
305413501,305413501,114075,200,10,0.8908,0.7903,
264842401,264842401,139015,200,7,0.4067,0.4153,
234790501,234790501,54526,200,7,0.3685,0.4041,
262123501,262123501,150146,200,6,0.7128,0.6811,
283496201,283496201,1854,200,6,0.8502,0.7663,
244715301,244715301,33130,200,8,0.6794,0.7312,
283902101,283902101,114417,200,8,0.7217,0.7184,
196718401,196718401,116690,200,10,1.7120,1.7269,
273114601,273114601,9808,200,10,1.8099,1.8590,
353836301,353836301,33195,200,9,0.8926,1.1294,
199281701,199281701,54500,200,9,1.1530,0.9002,
416680001,416680001,94556,200,10,0.8126,0.7985,
219827401,219827401,86344,200,10,0.7926,0.8022,
174325901,174325901,137525,200,10,0.7803,0.8571,
199400601,199400601,153735,200,8,0.9484,0.9482,
313429701,313429701,98331,200,8,0.9336,0.9753,
337722901,337722901,43431,200,9,1.0447,1.0102,
87260801,87260801,77218,200,9,1.0584,0.9304,
192092401,192092401,49010,200,6,0.5943,0.5877,
304434901,304434901,43839,200,6,0.4609,0.5630,
363068601,363068601,57284,200,7,0.7456,0.8260,
279032401,279032401,87100,200,7,1.1698,1.2338,
316713401,316713401,120920,200,6,0.9287,0.9609,
222217501,222217501,76001,200,6,0.8951,0.9059,
381997801,381997801,149240,200,7,0.7334,0.7437,
54199801,54199801,69771,200,15,0.5265,0.5799,_mf_16_0.5871_svd16_0.5579
154326101,154326101,62585,200,15,0.5564,0.5439,_mf_16_0.6260_svd16_0.6503
5727001,5727001,154044,200,16,0.5235,0.5776,
13423401,13423401,35434,200,7,0.7146,0.8092,
34638201,34638201,68002,200,7,0.9309,0.6543,_mf_8_0.6192_mf_9_0.3135_svd8_0.6007_svd9_0.4208
129430001,129430001,24977,200,7,0.7764,0.8101,_mf_8_1.1073_mf_10_1.0577_svd8_1.0406_svd10_1.0605
133074701,133074701,64767,200,6,1.2444,1.5476,_mf_7_0.5754_mf_8_0.7231_mf_13_0.7441_svd7_0.5889_svd8_0.6668_svd13_0.6953
375162701,375162701,114189,200,9,0.5144,0.6603,
241392001,241392001,112027,200,9,0.5120,0.5760,
285730001,285730001,92354,200,9,0.5895,0.5626,
30669301,30669301,38976,200,7,0.7381,0.8544,
34649901,34649901,10045,200,13,0.6968,0.6836,
5540101,5540101,57467,200,16,0.6307,0.5726,
638701,638701,106144,200,8,0.6656,0.9537,_mf_16_0.7899_svd16_0.6454
80136001,80136001,75158,200,7,0.6668,0.8141,
479474201,479474201,108348,200,7,0.8220,0.5383,
34766901,34766901,1228,200,14,1.2346,1.5130,
33881501,33881501,95798,200,14,1.1999,1.4322,
187399301,187399301,112515,200,6,0.6976,0.6373,
314570201,314570201,52497,200,6,0.6020,0.6719,
