,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,89976,60,17,1.0625,1.1160,
6057201,6057201,102376,60,17,0.9984,0.9953,
212100901,212100901,6063,60,7,1.1671,1.2506,
193308901,193308901,162519,60,7,1.1218,1.1886,
357587601,357587601,91710,60,8,0.6240,0.8332,_mf_19_0.5036_svd19_0.6028
5179901,5179901,132082,60,19,0.7514,0.5202,
3482501,3482501,79596,60,7,0.9704,0.9288,_mf_19_0.6246_svd19_0.6171
182361501,182361501,15753,60,11,1.0543,0.9145,
270014301,270014301,90812,60,11,0.8619,0.9154,
7200501,7200501,131802,60,7,0.5859,0.4566,_mf_11_0.7507_svd11_0.7997
7078201,7078201,134444,60,7,0.5505,0.5592,_mf_11_0.7841_svd11_0.6302
57893601,57893601,12841,60,8,1.0116,0.9181,_mf_9_0.9147_mf_11_0.7637_svd9_1.0529_svd11_0.6820
202249501,202249501,114268,60,8,1.1139,1.1036,
409833101,409833101,88516,60,8,1.1474,1.1885,
238760101,238760101,10955,60,8,1.1179,1.1561,
291816601,291816601,24907,60,8,1.1751,1.2032,
482776701,482776701,29288,60,7,0.6246,0.6114,
8075501,8075501,33402,60,10,1.2017,1.0738,
62301101,62301101,6000,60,10,1.2532,1.2194,
403795801,403795801,46633,60,10,0.7301,0.8260,
204145701,204145701,124833,60,10,0.7436,0.8052,
300868301,300868301,27286,60,10,0.9014,0.7765,
210686901,210686901,18379,60,10,0.7861,0.8232,
305413501,305413501,133527,60,10,0.9508,0.7771,
264842401,264842401,92223,60,7,1.5932,1.4179,
234790501,234790501,24435,60,7,1.5063,1.5937,
262123501,262123501,157375,60,6,0.9243,0.8092,
283496201,283496201,8802,60,6,1.1193,1.1192,
244715301,244715301,5298,60,8,0.9543,0.7719,
283902101,283902101,52934,60,8,0.9126,0.8904,
353836301,353836301,9094,60,9,0.7613,0.6982,
199281701,199281701,35141,60,9,0.6542,0.7091,
416680001,416680001,136355,60,10,1.2245,1.4654,
219827401,219827401,112503,60,10,1.3609,1.3897,
174325901,174325901,19757,60,10,1.1778,1.3734,
199400601,199400601,2581,60,8,0.4656,0.5164,
313429701,313429701,90508,60,8,0.5771,0.5409,
337722901,337722901,55976,60,9,1.0739,1.1096,
87260801,87260801,93615,60,9,1.0173,0.9596,
192092401,192092401,61585,60,6,1.6347,1.6806,
304434901,304434901,107164,60,6,1.6134,1.7609,
363068601,363068601,81326,60,7,0.7663,0.7478,
381997801,381997801,24174,60,7,0.8403,0.7983,
54199801,54199801,10887,60,15,0.8983,0.6954,_mf_16_0.7133_svd16_0.7062
154326101,154326101,154512,60,15,0.8819,0.9221,_mf_16_0.8484_svd16_0.6102
5727001,5727001,5652,60,16,0.9274,0.7183,
13423401,13423401,33440,60,7,0.8555,0.8679,
34638201,34638201,17681,60,7,0.7660,0.8953,_mf_8_0.5890_mf_9_1.1056_svd8_0.5966_svd9_0.8109
129430001,129430001,158212,60,7,0.7274,0.8309,_mf_8_0.8820_mf_10_0.9388_svd8_0.7984_svd10_0.9409
133074701,133074701,70943,60,6,0.5819,1.2058,_mf_7_2.5535_mf_8_0.6282_mf_13_1.0828_svd7_1.0349_svd8_0.7381_svd13_0.9639
30669301,30669301,99947,60,7,0.8115,0.9674,
34649901,34649901,59475,60,13,1.0514,1.0214,
5540101,5540101,41165,60,16,0.5446,0.6870,
638701,638701,141848,60,8,0.7971,0.9262,_mf_16_0.4976_svd16_0.6651
80136001,80136001,133356,60,7,0.8208,0.7540,
479474201,479474201,123550,60,7,0.7879,0.6857,
34766901,34766901,136126,60,14,0.5545,0.7029,
33881501,33881501,109178,60,14,0.5795,0.6260,
187399301,187399301,135101,60,6,1.1643,1.0298,
314570201,314570201,63137,60,6,0.9359,1.0699,
39070501,39070501,19447,60,9,0.7079,0.6265,
102335201,102335201,123415,60,8,0.8054,0.8600,_mf_9_0.6120_svd9_0.7070
39962701,39962701,40992,60,8,0.5349,0.5724,
39163501,39163501,12373,60,8,0.5867,0.5405,
38416601,38416601,102231,60,8,0.5591,0.5784,
40757101,40757101,14534,60,13,1.3542,1.3031,
40807001,40807001,74864,60,13,1.2113,1.4115,
39377701,39377701,11832,60,13,0.7670,0.8630,
38668501,38668501,82437,60,12,0.8796,0.8748,_mf_13_0.8016_svd13_0.9569
39038001,39038001,33614,60,12,0.6629,0.8502,_mf_13_0.8506_svd13_0.8252
215904201,215904201,88435,60,7,1.1826,1.2149,
275580101,275580101,11215,60,7,1.2706,1.2443,
250303701,250303701,57147,60,7,1.1535,1.1243,
217431401,217431401,123661,60,7,1.0711,1.0054,
38361601,38361601,45489,60,8,0.8196,0.8619,
265683401,265683401,10623,60,8,0.8730,0.8319,
387895901,387895901,7955,60,8,0.8372,0.7809,
181048101,181048101,121323,60,7,0.7537,0.7237,
351425701,351425701,61918,60,7,0.8219,0.7814,
264609101,264609101,48089,60,11,0.8556,0.9045,
383206301,383206301,9638,60,11,0.7880,0.8233,
121960501,121960501,21954,60,10,1.0274,0.8287,
479367601,479367601,141399,60,10,1.0511,0.9701,
41664601,41664601,117256,60,10,1.0278,0.9500,
38952701,38952701,40381,60,11,0.6304,0.6616,_mf_12_0.6895_svd12_0.6392
39559101,39559101,77702,60,11,0.5326,0.5802,_mf_12_0.5830_mf_13_0.6657_svd12_0.6299_svd13_0.5933
16795101,16795101,36979,60,12,1.1085,0.9331,
33834201,33834201,39792,60,12,0.9357,1.0775,
191627501,191627501,104973,60,6,0.8425,0.8654,
140505801,140505801,112744,60,6,0.9395,0.8765,
341860301,341860301,16283,60,5,0.3847,0.3642,_mf_6_0.4086_svd6_0.7929
201782001,201782001,134460,60,5,0.5292,0.5574,
182017801,182017801,31371,60,8,0.9309,0.7534,
404482501,404482501,128408,60,8,0.4666,1.0908,
60179801,60179801,147045,60,16,0.8519,0.7448,
62664901,62664901,21101,60,16,0.9491,0.8947,
73599001,73599001,77507,60,18,1.4430,1.4015,
464663601,464663601,102392,60,18,1.3766,1.4494,
73554701,73554701,3394,60,18,1.4093,1.5232,
479291201,479291201,117115,60,11,1.1097,1.1133,
55155001,55155001,108936,60,6,1.1347,1.1581,_mf_11_1.1489_svd11_1.2974
356689501,356689501,44202,60,8,1.2972,1.0346,
360017201,360017201,139253,60,8,1.0771,1.2910,
363888601,363888601,88196,60,9,0.7134,0.7394,
185334601,185334601,3027,60,9,0.6764,0.7078,
