,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,135333,170,17,0.5964,0.5597,
6057201,6057201,151755,170,17,0.5246,0.5559,
212100901,212100901,154234,170,7,0.4281,0.3731,
193308901,193308901,171,170,7,0.5287,0.3608,
357587601,357587601,3757,170,8,0.8416,0.9515,_mf_19_0.8870_svd19_0.7882
5179901,5179901,27443,170,19,0.9687,0.9353,
3482501,3482501,65758,170,7,0.5367,0.4850,_mf_19_0.8935_svd19_0.8084
182361501,182361501,111024,170,11,0.4110,0.4967,
270014301,270014301,128957,170,11,0.4011,0.3957,
7200501,7200501,99952,170,7,1.0553,1.1194,_mf_11_1.2245_svd11_1.0245
7078201,7078201,132116,170,7,1.3490,1.3756,_mf_11_1.0428_svd11_1.1666
57893601,57893601,47752,170,8,1.5074,1.1405,_mf_9_1.1440_mf_11_1.1345_svd9_1.1424_svd11_1.1310
202249501,202249501,138733,170,8,0.6291,0.7562,
409833101,409833101,3760,170,8,0.6853,0.6921,
238760101,238760101,50268,170,8,0.7670,0.6728,
291816601,291816601,57881,170,8,0.7143,0.6879,
482776701,482776701,88876,170,7,1.4571,1.5174,
8075501,8075501,38498,170,10,0.5488,0.5837,
62301101,62301101,61549,170,10,0.5730,0.6017,
403795801,403795801,111123,170,10,0.5938,0.5641,
204145701,204145701,138442,170,10,0.6598,0.7342,
300868301,300868301,28522,170,10,0.8346,0.8406,
210686901,210686901,49039,170,10,0.9591,0.8811,
305413501,305413501,81403,170,10,0.9010,0.7931,
264842401,264842401,132777,170,7,0.6841,0.6325,
234790501,234790501,80739,170,7,0.7015,0.5313,
262123501,262123501,106468,170,6,0.6157,0.4026,
283496201,283496201,27851,170,6,0.6280,0.5686,
244715301,244715301,150645,170,8,0.3656,0.3165,
283902101,283902101,86570,170,8,0.3749,0.3778,
353836301,353836301,153845,170,9,0.5376,0.3958,
199281701,199281701,135059,170,9,0.3770,0.5037,
416680001,416680001,115160,170,10,0.8729,0.9720,
219827401,219827401,51879,170,10,0.9317,0.8248,
174325901,174325901,34266,170,10,1.0413,1.0059,
199400601,199400601,94173,170,8,0.8874,0.7396,
313429701,313429701,23669,170,8,0.8058,0.8457,
337722901,337722901,119934,170,9,1.1052,1.0775,
87260801,87260801,114399,170,9,1.1116,1.0567,
192092401,192092401,7270,170,6,0.8272,0.8494,
304434901,304434901,117449,170,6,0.8657,0.9277,
363068601,363068601,56022,170,7,1.0317,1.0078,
279032401,279032401,30912,170,7,1.0029,0.8411,
316713401,316713401,125436,170,6,0.7912,0.7298,
222217501,222217501,61094,170,6,0.8085,0.7660,
381997801,381997801,76629,170,7,1.3564,1.2704,
54199801,54199801,63923,170,15,0.7676,0.9655,_mf_16_0.7087_svd16_0.8365
154326101,154326101,144860,170,15,0.8116,0.8471,_mf_16_0.6595_svd16_0.6735
5727001,5727001,34383,170,16,0.8687,0.7573,
13423401,13423401,61632,170,7,1.3002,1.4818,
