,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,64043,180,17,0.7194,0.6768,
6057201,6057201,62286,180,17,0.4937,0.6808,
212100901,212100901,107539,180,7,0.8761,0.8058,
193308901,193308901,147298,180,7,0.9207,0.8182,
357587601,357587601,160897,180,8,0.3653,0.7600,_mf_19_0.7064_svd19_0.6435
5179901,5179901,2389,180,19,0.6346,0.7547,
3482501,3482501,1652,180,7,0.9164,0.9869,_mf_19_0.6308_svd19_0.5811
182361501,182361501,8950,180,11,0.7806,0.8850,
270014301,270014301,112515,180,11,0.8969,0.9366,
7200501,7200501,140304,180,7,0.7612,0.8782,_mf_11_1.1032_svd11_0.9759
7078201,7078201,18925,180,7,1.1962,1.1924,_mf_11_1.0143_svd11_1.1241
57893601,57893601,45004,180,8,0.8789,0.7294,_mf_9_0.6217_mf_11_1.1308_svd9_0.6039_svd11_1.0555
202249501,202249501,80370,180,8,1.0064,1.1480,
409833101,409833101,32333,180,8,1.1317,1.0105,
238760101,238760101,85110,180,8,1.0550,1.0596,
291816601,291816601,40701,180,8,1.1385,1.1520,
482776701,482776701,52444,180,7,1.2047,0.9921,
8075501,8075501,114592,180,10,0.7117,0.7131,
62301101,62301101,137991,180,10,0.6893,0.6788,
403795801,403795801,86785,180,10,1.1581,1.0965,
204145701,204145701,162145,180,10,1.0919,1.2267,
300868301,300868301,60986,180,10,1.2805,1.2996,
210686901,210686901,48263,180,10,1.1498,1.2395,
305413501,305413501,85598,180,10,1.1687,1.3334,
264842401,264842401,142180,180,7,0.9497,1.0282,
234790501,234790501,55874,180,7,1.0150,0.8960,
262123501,262123501,34848,180,6,1.3512,1.2216,
283496201,283496201,143970,180,6,1.7926,1.7968,
244715301,244715301,58592,180,8,1.0245,1.2836,
283902101,283902101,58876,180,8,1.0633,0.9376,
196718401,196718401,51058,180,10,0.6619,0.6983,
273114601,273114601,144878,180,10,0.6174,0.5792,
353836301,353836301,84469,180,9,1.0737,1.0130,
199281701,199281701,148122,180,9,0.9576,1.0904,
416680001,416680001,15428,180,10,1.0137,0.9528,
219827401,219827401,141860,180,10,0.9439,0.9433,
174325901,174325901,89723,180,10,1.0004,0.9857,
199400601,199400601,47187,180,8,1.1481,1.0991,
313429701,313429701,122119,180,8,1.2416,1.0259,
337722901,337722901,83577,180,9,0.7148,0.8784,
87260801,87260801,98996,180,9,0.6639,0.7241,
192092401,192092401,66865,180,6,0.6695,0.6782,
304434901,304434901,94690,180,6,0.7339,0.6473,
363068601,363068601,100963,180,7,0.8397,0.9155,
279032401,279032401,141363,180,7,0.8810,0.7556,
316713401,316713401,81176,180,6,1.3790,1.4176,
222217501,222217501,66793,180,6,1.2048,1.3089,
381997801,381997801,65877,180,7,0.7019,0.7912,
54199801,54199801,139706,180,15,0.6065,0.6474,_mf_16_0.6442_svd16_0.6926
154326101,154326101,31813,180,15,0.6173,0.4799,_mf_16_0.7693_svd16_0.6759
5727001,5727001,76448,180,16,0.7391,0.7190,
13423401,13423401,162403,180,7,1.1327,1.2040,
34638201,34638201,137789,180,7,0.8079,0.8503,_mf_8_0.7969_mf_9_0.9029_svd8_0.6997_svd9_0.8296
129430001,129430001,141653,180,7,0.7567,0.6227,_mf_8_0.6559_mf_10_0.7557_svd8_0.6117_svd10_0.6244
133074701,133074701,68866,180,6,0.7561,0.7336,_mf_7_1.7798_mf_8_0.6747_mf_13_0.7775_svd7_1.7998_svd8_0.6874_svd13_0.8553
375162701,375162701,116264,180,9,0.6630,0.6591,
241392001,241392001,51549,180,9,0.5935,0.6200,
285730001,285730001,48474,180,9,0.6547,0.6165,
30669301,30669301,161184,180,7,0.9564,0.9422,
34649901,34649901,115757,180,13,0.7783,0.9673,
5540101,5540101,51699,180,16,0.4630,0.5374,
638701,638701,109722,180,8,0.4577,0.8988,_mf_16_0.5768_svd16_0.4916
80136001,80136001,116312,180,7,0.6006,0.5655,
479474201,479474201,140918,180,7,0.6513,0.6316,
34766901,34766901,155468,180,14,0.7868,0.9340,
33881501,33881501,98694,180,14,0.8563,0.8668,
187399301,187399301,39263,180,6,1.0310,1.0101,
314570201,314570201,108280,180,6,1.0090,0.9276,
39070501,39070501,53015,180,9,0.4956,0.5063,
102335201,102335201,47166,180,8,1.0907,1.0095,_mf_9_0.4537_svd9_0.4673
39962701,39962701,111183,180,8,0.7119,0.6318,
39163501,39163501,17001,180,8,0.6151,0.6182,
38416601,38416601,99506,180,8,0.5979,0.6091,
40757101,40757101,35196,180,13,0.6070,0.5789,
40807001,40807001,101263,180,13,0.6162,0.7663,
40538801,40538801,144978,180,6,0.7144,0.9202,_mf_13_0.6861_svd13_0.6839
39377701,39377701,91499,180,13,1.1129,1.2030,
38668501,38668501,80652,180,12,0.9319,1.0630,_mf_13_1.1353_svd13_1.0665
39038001,39038001,88669,180,12,1.0894,1.1746,_mf_13_1.2060_svd13_1.2169
215904201,215904201,39208,180,7,1.2462,1.2827,
275580101,275580101,15286,180,7,1.1896,1.3127,
250303701,250303701,4388,180,7,1.0218,0.9216,
217431401,217431401,92865,180,7,0.9982,1.0747,
38361601,38361601,74882,180,8,1.1830,1.1321,
383206301,383206301,152390,180,10,1.7835,1.7932,_mf_11_1.5909_svd11_1.7023
184483601,184483601,158748,180,10,2.0335,1.9338,
265683401,265683401,54467,180,8,0.5758,0.4472,
387895901,387895901,7192,180,8,0.6152,0.5568,
