,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,55808,30,17,1.5219,1.5193,
6057201,6057201,107295,30,17,1.4797,1.5290,
212100901,212100901,64389,30,7,1.2127,0.9049,
193308901,193308901,66937,30,7,1.2238,1.1343,
357587601,357587601,55405,30,8,0.8679,0.5890,_mf_19_0.9883_svd19_0.8898
5179901,5179901,108381,30,19,0.9815,1.0303,
3482501,3482501,140694,30,7,0.7715,0.8756,_mf_19_0.9000_svd19_0.9419
182361501,182361501,2004,30,11,0.5438,0.7444,
270014301,270014301,8069,30,11,0.5970,0.6672,
7200501,7200501,8133,30,7,1.0841,0.9898,_mf_11_1.3391_svd11_1.4499
7078201,7078201,150024,30,7,1.1789,0.9953,_mf_11_1.4172_svd11_1.4094
57893601,57893601,110852,30,8,0.6487,0.6787,_mf_9_0.6535_mf_11_1.5053_svd9_0.9447_svd11_1.4127
202249501,202249501,121000,30,8,0.6019,0.5425,
409833101,409833101,2719,30,8,0.5656,0.5119,
238760101,238760101,145739,30,8,0.5657,0.5611,
291816601,291816601,86942,30,8,0.6154,0.5172,
482776701,482776701,37533,30,7,1.1421,1.1209,
8075501,8075501,1478,30,10,0.7762,0.7400,
62301101,62301101,130124,30,10,0.7495,0.8993,
403795801,403795801,54465,30,10,0.5394,0.4517,
204145701,204145701,38562,30,10,0.4786,0.5665,
300868301,300868301,138348,30,10,0.5784,0.5836,
210686901,210686901,126477,30,10,0.7220,0.8244,
305413501,305413501,47602,30,10,0.6321,0.6190,
264842401,264842401,162245,30,7,1.0802,0.8573,
234790501,234790501,78655,30,7,0.9385,0.9241,
262123501,262123501,116069,30,6,0.6876,0.6842,
283496201,283496201,65877,30,6,0.8648,0.6379,
244715301,244715301,52424,30,8,1.1851,1.4203,
283902101,283902101,106649,30,8,1.0719,1.2508,
353836301,353836301,92533,30,9,1.5870,1.4931,
199281701,199281701,97439,30,9,1.5270,1.3321,
416680001,416680001,86339,30,10,1.2314,1.0057,
219827401,219827401,53999,30,10,0.9918,1.1572,
174325901,174325901,83488,30,10,1.1392,1.1403,
199400601,199400601,12798,30,8,0.7638,0.8787,
313429701,313429701,151883,30,8,0.7583,0.7640,
337722901,337722901,108059,30,9,0.6557,0.6375,
87260801,87260801,144393,30,9,0.5815,0.6767,
192092401,192092401,48453,30,6,1.0552,0.9161,
304434901,304434901,62928,30,6,0.9638,1.0735,
363068601,363068601,141306,30,7,0.7002,0.5387,
381997801,381997801,82462,30,7,0.5418,0.5704,
54199801,54199801,127574,30,15,0.9094,0.7908,_mf_16_0.8891_svd16_0.8128
154326101,154326101,47442,30,15,0.8457,0.9589,_mf_16_0.8309_svd16_0.7980
5727001,5727001,136184,30,16,0.8701,0.8883,
13423401,13423401,132141,30,7,0.7927,0.9080,
34638201,34638201,158684,30,7,0.8576,0.8403,_mf_9_1.1585_svd9_1.0277
129430001,129430001,20653,30,7,0.9289,1.1480,_mf_10_1.1133_svd10_0.7456
30669301,30669301,101304,30,7,0.5743,0.7414,
133074701,133074701,40985,30,6,0.5606,0.5620,_mf_7_0.8018_mf_13_0.8371_svd7_0.9126_svd13_0.8014
34649901,34649901,3027,30,13,0.7693,0.7389,
5540101,5540101,155378,30,16,0.5181,0.4972,
638701,638701,145485,30,8,0.5706,0.6757,_mf_16_0.4999_svd16_0.4861
80136001,80136001,155468,30,7,0.8562,0.8223,
479474201,479474201,132767,30,7,0.7365,0.8186,
34766901,34766901,10805,30,14,1.0257,1.1013,
33881501,33881501,39832,30,14,1.1058,1.0701,
39070501,39070501,65646,30,9,0.5744,0.5638,
102335201,102335201,44597,30,8,0.7307,0.5729,_mf_9_0.5737_svd9_0.6617
39962701,39962701,160922,30,8,0.7043,0.8163,
39163501,39163501,22094,30,8,0.7801,0.9513,
38416601,38416601,17480,30,8,0.8527,0.8036,
40757101,40757101,77278,30,13,0.7184,0.9304,
40807001,40807001,114056,30,13,0.5997,0.8173,
39377701,39377701,4676,30,13,1.0629,1.0762,
38668501,38668501,133717,30,13,0.9259,0.9677,
39038001,39038001,63747,30,13,0.9437,0.9225,
215904201,215904201,20162,30,7,0.5917,0.5206,
275580101,275580101,55108,30,7,0.5758,0.5227,
250303701,250303701,115820,30,7,0.8472,0.8402,
217431401,217431401,32804,30,7,0.7988,0.8630,
38361601,38361601,13616,30,8,0.7092,0.6660,
181048101,181048101,73564,30,7,0.4820,0.4208,
351425701,351425701,871,30,7,0.4412,0.4556,
264609101,264609101,30879,30,11,0.6610,0.7229,
383206301,383206301,41695,30,11,0.6637,0.5778,
121960501,121960501,145698,30,10,0.6312,0.7281,
479367601,479367601,12307,30,10,0.6482,0.7007,
16795101,16795101,77021,30,12,0.6372,0.7080,
33834201,33834201,149615,30,12,0.6755,0.8008,
341860301,341860301,107323,30,5,0.9873,1.1116,
201782001,201782001,90416,30,5,1.1456,1.0198,
182017801,182017801,28583,30,8,0.6973,0.6182,
404482501,404482501,98651,30,8,0.8795,0.6712,
60179801,60179801,139638,30,16,0.5190,0.5986,
62664901,62664901,156346,30,16,0.7460,0.5593,
73599001,73599001,142226,30,18,1.2889,1.1985,
464663601,464663601,72294,30,18,1.2724,1.1797,
73554701,73554701,18231,30,18,1.2564,1.2028,
479291201,479291201,73509,30,11,0.4630,0.5054,
55155001,55155001,127743,30,6,0.7611,0.7872,_mf_11_0.4912_svd11_0.4946
356689501,356689501,158983,30,8,0.5206,0.5615,
360017201,360017201,136570,30,8,0.5436,0.5245,
363888601,363888601,4774,30,9,1.0374,1.1136,
185334601,185334601,142962,30,9,1.0238,0.9772,
48035901,48035901,65750,30,8,0.7003,0.7506,
48327701,48327701,21632,30,8,0.7335,0.7069,
48251401,48251401,73909,30,14,1.3633,1.3973,
471762501,471762501,15196,30,11,1.3766,1.2716,_mf_14_1.2632_svd14_1.2554
64058401,64058401,129980,30,8,0.5720,0.6627,
48224501,48224501,2222,30,11,1.4019,1.2944,
368208501,368208501,141537,30,8,0.7979,0.5928,
235928601,235928601,64786,30,8,0.9915,0.8551,
63790501,63790501,58731,30,16,0.8487,0.8013,
63564601,63564601,29679,30,16,0.7945,0.8531,
213783101,213783101,158866,30,6,1.0927,1.0978,
251292301,251292301,19669,30,6,1.1078,1.0721,
351430501,351430501,44105,30,6,1.1961,1.1333,
97613201,97613201,86444,30,12,0.9714,0.9687,
161963801,161963801,18085,30,12,0.6905,0.7073,_mf_13_0.4536_svd13_0.4448
162757101,162757101,90064,30,12,0.7152,0.7254,
159696901,159696901,35206,30,12,0.9155,0.9217,
489035301,489035301,85196,30,12,0.9393,0.7383,_mf_13_0.4365_svd13_0.4369
12546801,12546801,41407,30,9,0.5324,0.5669,
12368901,12368901,24648,30,9,0.5657,0.4654,
161194201,161194201,52533,30,19,0.6021,0.5381,_mf_21_0.8313_svd21_0.9094
481319801,481319801,50188,30,19,0.6147,0.5787,
76527501,76527501,95754,30,18,0.6440,0.6808,
76396201,76396201,115170,30,18,0.7025,0.6769,
63514901,63514901,106432,30,19,0.7835,0.9362,
123296701,123296701,92089,30,19,0.8043,0.7611,
435384001,435384001,149584,30,15,1.1967,1.2906,
426024001,426024001,6040,30,15,1.0755,0.9953,
107918501,107918501,100480,30,7,1.1990,1.1072,
242095801,242095801,75897,30,7,1.3218,1.2360,
379140001,379140001,145859,30,6,0.9908,0.5145,_mf_10_1.1472_svd10_1.2848
360462601,360462601,101763,30,10,1.2268,1.3445,
488491401,488491401,124492,30,7,1.0280,0.8375,
457407301,457407301,7955,30,7,0.8410,0.8028,_mf_11_0.5126_svd11_0.6157
290545701,290545701,144352,30,6,0.7718,0.7785,_mf_7_0.6352_svd7_0.6819
216832701,216832701,45463,30,10,0.5722,0.7023,
485993901,485993901,101322,30,10,0.7496,0.6913,
80371701,80371701,145866,30,7,0.8643,0.9115,_mf_11_0.4451_svd11_0.5217
485861001,485861001,118252,30,9,0.4983,0.6927,
457528501,457528501,130587,30,9,0.6439,0.5656,
160123601,160123601,124784,30,16,0.4570,0.4299,
457554601,457554601,134532,30,16,0.5480,0.5952,
