,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,4294,20,17,0.7359,0.6283,
6057201,6057201,109804,20,17,0.7684,0.6920,
212100901,212100901,57253,20,7,0.9114,0.7968,
193308901,193308901,112507,20,7,0.7242,1.0653,
357587601,357587601,95075,20,8,1.1429,1.1930,_mf_19_0.9906_svd19_0.9606
5179901,5179901,86785,20,19,0.9138,0.9751,
3482501,3482501,10813,20,7,0.5356,0.4188,_mf_19_1.0034_svd19_1.0097
7200501,7200501,16752,20,7,0.4512,0.4831,_mf_11_0.7036_svd11_0.6319
7078201,7078201,127314,20,7,0.5421,0.4793,_mf_11_0.7187_svd11_0.6549
57893601,57893601,10237,20,8,1.1238,1.0044,_mf_9_0.7168_mf_11_0.7257_svd9_1.2849_svd11_0.6579
202249501,202249501,145411,20,8,1.3327,1.3995,
409833101,409833101,1503,20,8,1.3505,1.3040,
238760101,238760101,116319,20,8,1.4144,1.3446,
291816601,291816601,106648,20,8,1.4326,1.5081,
482776701,482776701,110485,20,7,0.5366,0.5694,
8075501,8075501,69289,20,10,0.9606,0.9113,
62301101,62301101,87002,20,10,0.9239,0.9388,
403795801,403795801,81823,20,10,1.0872,1.0568,
204145701,204145701,16137,20,10,1.1351,0.9886,
300868301,300868301,41363,20,10,0.7344,0.7491,
210686901,210686901,119478,20,10,0.7475,0.7446,
264842401,264842401,161897,20,7,0.6197,0.5656,
234790501,234790501,143965,20,7,0.5977,0.5316,
262123501,262123501,86765,20,6,1.3916,1.5028,
283496201,283496201,144649,20,6,1.6354,1.5929,
244715301,244715301,42355,20,8,0.9776,0.9383,
283902101,283902101,150411,20,8,1.1820,1.0676,
353836301,353836301,151104,20,9,2.0320,2.2743,
199281701,199281701,120215,20,9,2.2092,2.1354,
416680001,416680001,159795,20,10,0.9746,0.8982,
219827401,219827401,150094,20,10,0.8858,0.7762,
174325901,174325901,125507,20,10,0.8382,0.7706,
199400601,199400601,19683,20,8,1.1652,1.0039,
313429701,313429701,104859,20,8,1.1110,1.1379,
337722901,337722901,123009,20,9,1.3624,1.2842,
87260801,87260801,37610,20,9,1.3122,1.1702,
192092401,192092401,15657,20,6,0.9468,1.0311,
304434901,304434901,2766,20,6,1.0721,0.8922,
363068601,363068601,76480,20,7,0.5327,0.5555,
381997801,381997801,146969,20,7,0.5852,0.5781,
54199801,54199801,2962,20,15,0.9581,0.8836,_mf_16_0.6642_svd16_0.5787
154326101,154326101,143706,20,15,0.8972,0.8434,_mf_16_0.7435_svd16_0.6383
5727001,5727001,106247,20,16,0.6355,0.7025,
30669301,30669301,117934,20,7,0.3962,0.5333,
133074701,133074701,100991,20,6,0.8701,0.3796,_mf_7_0.8491_mf_13_0.9038_svd7_0.7995_svd13_0.9107
34649901,34649901,64236,20,13,0.7155,0.7986,
5540101,5540101,160088,20,16,1.2852,1.2667,
