,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,151519,130,17,0.5666,0.5964,
6057201,6057201,70931,130,17,0.5668,0.5588,
212100901,212100901,66020,130,7,0.9225,1.0308,
193308901,193308901,152783,130,7,0.8942,0.9905,
357587601,357587601,123023,130,8,1.2157,0.8882,_mf_19_1.4593_svd19_1.1473
5179901,5179901,112142,130,19,1.1966,1.3057,
3482501,3482501,57558,130,7,0.4209,0.4062,_mf_19_1.1868_svd19_1.3014
182361501,182361501,41305,130,11,0.9494,0.8899,
270014301,270014301,42508,130,11,0.6994,0.9507,
7200501,7200501,19273,130,7,0.6652,0.6919,_mf_11_1.5566_svd11_1.5315
7078201,7078201,106892,130,7,1.4093,1.6269,_mf_11_1.4340_svd11_1.6929
57893601,57893601,59200,130,8,1.2924,0.9466,_mf_9_1.0850_mf_11_1.4148_svd9_2.0719_svd11_1.3585
202249501,202249501,14534,130,8,1.1301,0.9595,
409833101,409833101,154156,130,8,0.9314,0.9485,
238760101,238760101,150763,130,8,1.0144,1.0691,
291816601,291816601,104315,130,8,1.0799,1.0411,
482776701,482776701,78383,130,7,1.6027,1.4459,
8075501,8075501,87996,130,10,0.6927,0.8132,
62301101,62301101,159606,130,10,0.5949,0.6469,
403795801,403795801,61993,130,10,0.8189,0.8082,
204145701,204145701,112917,130,10,0.7081,0.8969,
300868301,300868301,155454,130,10,0.6767,0.7421,
210686901,210686901,116372,130,10,0.6711,0.6764,
305413501,305413501,103335,130,10,0.6215,0.6433,
264842401,264842401,25943,130,7,0.7950,0.8414,
234790501,234790501,155468,130,7,0.9892,0.9498,
262123501,262123501,40567,130,6,0.3969,0.4314,
283496201,283496201,118540,130,6,0.4439,0.4290,
244715301,244715301,53214,130,8,1.3059,1.3013,
283902101,283902101,100956,130,8,1.3211,1.2371,
353836301,353836301,3743,130,9,1.4239,1.3079,
199281701,199281701,41449,130,9,1.4463,1.3062,
416680001,416680001,84637,130,10,1.3794,1.3658,
219827401,219827401,131241,130,10,1.4513,1.3345,
174325901,174325901,18925,130,10,1.3724,1.3557,
199400601,199400601,103281,130,8,0.6189,0.5500,
313429701,313429701,68172,130,8,0.7802,0.6563,
337722901,337722901,11264,130,9,0.5783,0.7633,
87260801,87260801,69398,130,9,0.5834,0.6424,
192092401,192092401,72240,130,6,0.8670,0.6278,
304434901,304434901,126166,130,6,0.7693,0.7355,
363068601,363068601,149615,130,7,0.5912,0.6470,
279032401,279032401,59044,130,7,0.7399,0.5818,
316713401,316713401,71919,130,6,0.9635,0.8645,
222217501,222217501,30863,130,6,1.0341,0.8826,
381997801,381997801,127544,130,7,0.6250,0.5712,
54199801,54199801,8428,130,15,0.9729,0.9241,_mf_16_1.7095_svd16_1.5913
154326101,154326101,50882,130,15,1.1160,1.0124,_mf_16_1.7678_svd16_1.7710
5727001,5727001,93924,130,16,1.6832,1.7638,
13423401,13423401,17423,130,7,0.9659,1.1876,
34638201,34638201,138533,130,7,0.7220,0.7009,_mf_8_0.7859_mf_9_0.7200_svd8_1.2102_svd9_1.0430
129430001,129430001,148738,130,7,0.6702,0.7718,_mf_8_0.8777_mf_10_0.5303_svd8_0.9366_svd10_0.5225
133074701,133074701,74825,130,6,1.2990,1.0198,_mf_7_0.5442_mf_8_0.8876_mf_13_1.1802_svd7_0.6246_svd8_0.7053_svd13_1.2732
375162701,375162701,103712,130,9,0.5262,0.4770,
241392001,241392001,95975,130,9,0.5670,0.6061,
285730001,285730001,145120,130,9,0.5783,0.6201,
30669301,30669301,9707,130,7,0.3659,0.3553,
34649901,34649901,13368,130,13,1.2577,1.1208,
5540101,5540101,91715,130,16,0.9527,0.8518,
638701,638701,47473,130,8,1.1212,1.0372,_mf_16_0.8679_svd16_0.8309
80136001,80136001,156634,130,7,0.9614,0.9148,
479474201,479474201,45463,130,7,1.0885,0.9673,
34766901,34766901,6963,130,14,0.6430,0.7143,
33881501,33881501,91500,130,14,0.6493,0.6487,
187399301,187399301,158109,130,6,0.5447,0.4716,
314570201,314570201,107036,130,6,0.6003,0.5261,
39070501,39070501,74567,130,9,1.5392,1.5142,
