,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,150671,80,17,0.8156,1.0143,
6057201,6057201,156292,80,17,1.0292,0.9657,
212100901,212100901,119803,80,7,0.7178,0.6779,
193308901,193308901,101695,80,7,0.7982,0.8193,
357587601,357587601,81650,80,8,0.8218,1.1428,_mf_19_0.6852_svd19_0.7537
5179901,5179901,6880,80,19,0.6669,0.6976,
3482501,3482501,72831,80,7,0.7843,0.7376,_mf_19_0.7129_svd19_0.7785
182361501,182361501,81443,80,11,0.9841,0.8773,
270014301,270014301,43913,80,11,0.9433,0.9143,
7200501,7200501,50056,80,7,0.7975,0.9414,_mf_11_0.8620_svd11_0.9842
7078201,7078201,41351,80,7,0.5299,0.4785,_mf_11_0.9734_svd11_0.9148
57893601,57893601,137872,80,8,1.2552,0.9329,_mf_9_1.1565_mf_11_0.9623_svd9_0.8439_svd11_0.8807
202249501,202249501,152783,80,8,1.1268,1.0668,
409833101,409833101,2469,80,8,1.0701,1.2370,
238760101,238760101,115925,80,8,1.1521,1.0905,
291816601,291816601,13533,80,8,1.0393,1.1843,
482776701,482776701,76060,80,7,0.6596,0.5615,
8075501,8075501,19825,80,10,1.5120,1.4648,
62301101,62301101,72206,80,10,1.4567,1.4750,
403795801,403795801,47486,80,10,1.1518,0.9754,
204145701,204145701,82286,80,10,1.0772,1.1525,
300868301,300868301,82394,80,10,0.7362,0.8307,
210686901,210686901,137571,80,10,0.7761,0.7443,
305413501,305413501,76587,80,10,0.7549,0.8110,
264842401,264842401,44995,80,7,0.8773,0.9897,
234790501,234790501,103749,80,7,0.9687,1.0689,
262123501,262123501,84669,80,6,0.8111,0.8430,
283496201,283496201,89866,80,6,0.6213,0.4993,
244715301,244715301,77998,80,8,0.8212,0.8932,
283902101,283902101,20055,80,8,0.8466,0.8344,
353836301,353836301,85505,80,9,0.7047,0.6753,
199281701,199281701,1477,80,9,0.8186,0.7938,
416680001,416680001,113727,80,10,0.5517,0.5629,
219827401,219827401,68142,80,10,0.5742,0.5936,
174325901,174325901,52497,80,10,0.6560,0.5730,
199400601,199400601,10919,80,8,1.5341,1.6109,
313429701,313429701,3150,80,8,1.4987,1.5516,
337722901,337722901,69811,80,9,0.3095,0.3151,
87260801,87260801,12002,80,9,0.2797,0.3002,
192092401,192092401,134221,80,6,0.5236,0.5028,
304434901,304434901,77527,80,6,0.5200,0.4980,
363068601,363068601,142793,80,7,0.8905,0.8421,
279032401,279032401,153382,80,7,0.8704,0.9494,
381997801,381997801,10361,80,7,0.9305,0.8787,
54199801,54199801,37774,80,15,1.2794,1.3026,_mf_16_1.1522_svd16_1.1735
154326101,154326101,155814,80,15,1.0409,1.3887,_mf_16_1.0739_svd16_0.9081
5727001,5727001,100201,80,16,1.0134,1.0442,
13423401,13423401,20966,80,7,0.4006,0.4112,
34638201,34638201,60148,80,7,0.5115,0.5812,_mf_8_0.5253_mf_9_1.0438_svd8_0.5883_svd9_0.8884
129430001,129430001,154137,80,7,0.5285,0.5224,_mf_8_0.7110_mf_10_1.1254_svd8_0.6923_svd10_1.3660
