,peerId,userId,stride,time,svd_mse,mf_mse,util
6184901,6184901,98202,350,17,0.5543,0.6152,
6057201,6057201,155642,350,17,0.6406,0.6201,
212100901,212100901,26621,350,7,0.5886,0.6359,
193308901,193308901,19102,350,7,0.6107,0.6052,
357587601,357587601,76679,350,8,1.2262,1.2917,_mf_19_1.2668_svd19_1.0847
5179901,5179901,112142,350,19,1.0295,0.9836,
3482501,3482501,73965,350,7,0.6675,0.7582,_mf_19_0.9093_svd19_1.0730
182361501,182361501,117565,350,11,1.2632,1.0737,
270014301,270014301,128408,350,11,1.0662,1.1121,
7200501,7200501,24921,350,7,1.4053,1.3628,_mf_11_0.6843_svd11_0.6702
7078201,7078201,46451,350,7,0.6532,0.6289,_mf_11_0.6893_svd11_0.7272
57893601,57893601,24293,350,7,0.5724,0.5634,_mf_8_1.6219_mf_9_1.5332_mf_11_0.7484_svd8_1.3270_svd9_1.4299_svd11_0.8273
202249501,202249501,114613,350,8,0.4946,0.4635,
409833101,409833101,78290,350,8,0.4358,0.4899,
238760101,238760101,114354,350,8,0.4233,0.4760,
291816601,291816601,16020,350,8,0.5063,0.4797,
482776701,482776701,70294,350,7,0.7369,0.6841,
242460801,242460801,69605,350,10,1.2780,1.3651,
245054401,245054401,139013,350,10,1.3065,1.2788,
8075501,8075501,100996,350,10,1.3942,1.2344,
62301101,62301101,130611,350,10,1.4118,1.3049,
403795801,403795801,116207,350,10,0.5634,0.6197,
204145701,204145701,65392,350,10,0.4695,0.5026,
300868301,300868301,74183,350,10,0.8472,0.8992,
210686901,210686901,152125,350,10,0.9588,0.9066,
305413501,305413501,11789,350,10,0.7659,0.9440,
264842401,264842401,72339,350,7,1.2272,1.2353,
234790501,234790501,91197,350,7,1.2703,1.2024,
369962701,369962701,86014,350,7,1.1731,1.1349,
262123501,262123501,116915,350,6,0.7741,0.6541,
283496201,283496201,13420,350,6,0.6544,0.6953,
244715301,244715301,49478,350,8,1.2150,1.1897,
283902101,283902101,81030,350,8,1.3123,1.3508,
196718401,196718401,146336,350,10,0.7030,0.7621,
